DateTime,Season,IE Demand,IE Demand factor of Peak,IE Demand factor of Winter Peak,Wind CF,IE Wind Availability,IE Wind Generation,Solar CF,IE Solar Availability,IE Solar Generation,IE Hydro,EWIC I/C,Interconnector cf,   'EASTWEST',  'Greenlink',Celtic,IE Wind Penetration,IE Solar Penetration,,non wind/solar/int compared to demand,AI Oversupply,AI Oversupply Percentage,SNSP,
01/01/2023 00:00,winter,3273.48,0.681265349,0.614331684,0.097,1524.5,1501.94,0,0.17,0.17,128.14,70.21,-0.132471698,-500,-146.24,-390.89,45.90%,0.00%,,,0,0.00%,52.80%,0
01/01/2023 01:00,winter,3149.49,0.655460978,0.590596402,0.062,1459.91,1436.32,0,0.16,0.15,128.15,176.74,-0.333471698,-458.76,-71.04,-395.94,45.60%,0.00%,,,0,0.00%,53.80%,1
01/01/2023 02:00,winter,3076.88,0.640349636,0.560288614,0.121,1397.65,1376.95,0,0.15,0.11,129.81,108.01,-0.203792453,-478.07,-161.18,-409.6,44.80%,0.00%,,,0,0.00%,50.00%,2
01/01/2023 03:00,winter,3001.24,0.6246077,0.541714541,0.132,1448.83,1428.45,0,0.16,0.13,129.45,87.79,-0.165641509,-480.98,-8.16,-420.43,47.60%,0.00%,,,0,0.00%,51.90%,3
01/01/2023 04:00,winter,2952.32,0.614426639,0.525695212,0.219,1426.67,1408.81,0,0.17,0.12,129.27,111.41,-0.210207547,-454.3,-89.37,-358.05,47.70%,0.00%,,,0,0.00%,52.80%,4
01/01/2023 05:00,winter,2976.92,0.619546306,0.517242207,0.146,1491.36,1469.12,0,0.16,0.12,128.12,150.9,-0.284716981,-321.25,-4.37,-358.05,49.40%,0.00%,,,0,0.00%,54.80%,5
01/01/2023 06:00,winter,3051.35,0.63503642,0.526596668,0.107,1410.22,1390.02,0,0.17,0.14,129.24,93.1,-0.175660377,-387.96,-72.62,-391.06,45.60%,0.00%,,,0,0.00%,50.50%,6
01/01/2023 07:00,winter,3182.91,0.662416233,0.532993686,0.118,1309.09,1289.62,0,0.31,0.22,131.63,22.25,-0.041981132,-479.78,-4.37,-349.97,40.50%,0.00%,,,0,0.00%,44.80%,7
01/01/2023 08:00,winter,3313.62,0.689619147,0.54331241,0.253,1115.19,1097.46,0,19.42,19.15,164.18,-71.12,-0.14224,-6.57,-4.37,-408.29,33.10%,0.60%,,,0,0.00%,35.10%,8
01/01/2023 09:00,winter,3475.47,0.72330281,0.562287336,0.17,906.14,885.46,0,63.99,64.71,165.91,-0.02,-0.00004,-6.57,-4.37,-1.59,25.50%,1.90%,,,0,0.00%,31.00%,9
01/01/2023 10:00,winter,3649.31,0.75948179,0.60161708,0.32,874.04,855.09,0.02,100.5,100.53,166.07,-0.02,-0.00004,-6.57,-4.37,-1.59,23.40%,2.80%,,,0,0.00%,31.70%,10
01/01/2023 11:00,winter,3773.09,0.785242456,0.647269953,0.137,891.36,874.25,0.078,122.81,122.21,165.52,71.03,-0.134018868,0,-4.37,-1.59,23.20%,3.20%,,,0,0.00%,34.80%,11
01/01/2023 12:00,winter,3824.98,0.796041623,0.687203748,0.178,815.58,800.4,0.105,139.51,137.32,166.54,16.41,-0.030962264,0,-4.37,-1.59,20.90%,3.60%,,,0,0.00%,37.10%,12
01/01/2023 13:00,winter,3862.9,0.803933403,0.715660594,0.095,764.64,747.51,0.093,129.01,128.09,151.45,333.15,-0.628584906,0,-4.37,-1.59,19.40%,3.30%,,,0,0.00%,41.80%,13
01/01/2023 14:00,winter,3794.61,0.789721124,0.711290007,0.076,715.9,700.63,0.052,166.36,162.72,151.88,529.88,-0.999773585,0,-4.37,-1.59,18.50%,4.30%,,,0,0.00%,45.30%,14
01/01/2023 15:00,winter,3755.85,0.781654527,0.702644889,0.152,605.02,589.86,0.008,150.51,144.04,152.91,529.92,-0.999849057,66.41,-4.37,-1.59,15.70%,3.80%,,,0,0.00%,42.70%,15
01/01/2023 16:00,winter,3776.29,0.785908429,0.707732208,0.332,480.96,465.65,0,152.41,151.5,145.35,529.91,-0.999830189,-6.57,-4.37,-1.59,12.30%,4.00%,,,0,0.00%,39.80%,16
