name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
Celtic,1,-250,1.05,,-325,25,1,FALSE,TRUE,10,0,-700,700,3205,49,TRUE,1.1,0.9,
Dromana BESS,2,0,1,105,-32.86841052,32.86841052,1,FALSE,FALSE,12,0,-100,100,,14,TRUE,1.1,0.9,
Curraghtown,4,0,1,,-98.60523155,98.60523155,1,FALSE,TRUE,7,0,0,300,,9,TRUE,1.1,0.9,
Test_PV_2,4,0,1,,-32,32,1,FALSE,FALSE,5,0,0,116,,23,TRUE,1.1,0.9,
Harlockstown solar ext,7,0,1,,-16.59854731,16.59854731,1,FALSE,FALSE,11,0,0,50.5,91026,23,TRUE,1.1,0.9,
Test_PV,8,0,1,,-32,32,1,FALSE,FALSE,5,0,0,95,,23,TRUE,1.1,0.9,
Gorman Solar,11,0,1,,-15.11946884,15.11946884,1,FALSE,TRUE,7,0,0,46,91022,23,TRUE,1.1,0.9,
Milltown,12,0,1,,-37.7986721,37.7986721,1,FALSE,TRUE,7,0,0,115,91021,23,TRUE,1.1,0.9,
Milltown ext,12,0,1,,-6.244997999,6.244997999,1,FALSE,TRUE,7,0,0,19,91021,23,TRUE,1.1,0.9,
Ballymoneen BESS,14,0,1,90,-24.65130789,24.65130789,1,FALSE,TRUE,2,0,-75,75,,14,TRUE,1.1,0.9,
Ballymoneen,14,0,1,,-37.7986721,37.7986721,1,FALSE,TRUE,2,0,0,115,91019,23,TRUE,1.1,0.9,
Ballymoneen ph 3,14,0,1,,-6.573682104,6.573682104,1,FALSE,TRUE,2,0,0,20,91019,23,TRUE,1.1,0.9,
Ballyroe ext,16,0,1,,-14.79078473,14.79078473,1,FALSE,TRUE,5,0,0,45,91017,23,TRUE,1.1,0.9,
Ballyroe,16,0,1,,-39.44209262,39.44209262,1,FALSE,TRUE,5,0,0,120,91017,23,TRUE,1.1,0.9,
Monvallet BESS,18,0,1,141.12,-44.17514374,44.17514374,1,FALSE,TRUE,7,0,-134.4,134.4,,14,TRUE,1.1,0.9,
Monvallet BESS ph2,18,0,1,122.85,-38.45604031,38.45604031,1,FALSE,FALSE,7,0,-117,117,,14,TRUE,1.1,0.9,
Monvallet,18,0,1,,-16.43420526,16.43420526,1,FALSE,TRUE,7,0,0,50,91015,23,TRUE,1.1,0.9,
Drumgoolan (monvallet ph2),18,0,1,,-24.65130789,24.65130789,1,FALSE,TRUE,7,0,0,75,,23,TRUE,1.1,0.9,
Monatoreen,20,0,1,,-8.90733925,8.90733925,1,FALSE,TRUE,10,0,0,27.1,91013,23,TRUE,1.1,0.9,
Blackwater bog,22,0,1,,-21.36446684,21.36446684,1,FALSE,TRUE,3,0,0,65,91011,23,TRUE,1.1,0.9,
Erkina 1and2,24,0,1,,-51.60340451,51.60340451,1,FALSE,TRUE,8,0,0,157,91009,23,TRUE,1.1,0.9,
Erkina extension,24,0,1,,-4.930261577,4.930261577,1,FALSE,TRUE,8,0,0,15,91009,23,TRUE,1.1,0.9,
Borrisbeg Wind Farm,25,0,1.05,,-17.74894168,17.74894168,1,FALSE,TRUE,8,0,0,54,,17,TRUE,1.1,0.9,
Clonin North,26,0,1,,-15.44815294,15.44815294,1,FALSE,TRUE,11,0,0,47,91007,23,TRUE,1.1,0.9,
Lysaghtstown,28,0,1,,-48.31656346,48.31656346,1,FALSE,TRUE,10,0,0,147,91003,23,TRUE,1.1,0.9,
Tracystown',30,0,1,,-33.22996303,33.22996303,1,FALSE,TRUE,9,0,0,101.1,91001,23,TRUE,1.1,0.9,
 'Woodhous_ph1',32,0,1.05,,-6.573682104,6.573682104,1,FALSE,TRUE,12,0,0,20,69335,17,TRUE,1.1,0.9,
      'Acres',34,0,1,,-5.751971841,5.751971841,1,FALSE,TRUE,1,0,0,17.5,69197,17,TRUE,1.1,0.9,
 'CappaghW_ph3',43,0,1.05,,-4.332056506,4.332056506,1,FALSE,TRUE,8,0,0,13.18,68410,17,TRUE,1.1,0.9,
Castlebanny,1831,0,1,,-45.39127493,45.39127493,1,FALSE,TRUE,9,0,0,138.6,,17,TRUE,1.1,0.9,
 'Corkemor_ph2',45,0,1.05,,-3.089630589,3.089630589,1,FALSE,TRUE,1,0,0,9.4,68407,17,TRUE,1.1,0.9,
 'Grove Hill',46,0,1.05,,-5.291814093,5.291814093,1,FALSE,TRUE,7,0,0,16.1,68404,17,TRUE,1.1,0.9,
 'Mully Graffy',47,0,1.05,,-9.827654745,9.827654745,1,FALSE,TRUE,1,0,0,29.9,68402,17,TRUE,1.1,0.9,
White Hill Wind,1825,0,1,,-16.5656789,16.5656789,1,FALSE,TRUE,9,0,0,50.4,,17,TRUE,1.1,0.9,
 'BlackLou_ph1',52,0,1,,-4.108551315,4.108551315,1,FALSE,TRUE,2,0,0,12.5,68312,17,TRUE,1.1,0.9,
 'Tullabra_ph1',53,0,1.05,,-4.535840651,4.535840651,1,FALSE,TRUE,4,0,0,13.8,68311,17,TRUE,1.1,0.9,
 'Meenad_S_ph2',54,0,1.05,,-1.774894168,1.774894168,1,FALSE,TRUE,1,0,0,5.4,68308,17,TRUE,1.1,0.9,
Pinewoods WF,1808,0,1,,-17.38738916,17.38738916,1,FALSE,TRUE,9,0,0,48,,17,TRUE,1.1,0.9,
 'Farranrory WF',1813,0,1,,-15.1,15.1,1,FALSE,TRUE,9,0,0,45,,17,TRUE,1.1,0.9,
 'Kilbereh_ph1',57,0,1.05,,-1.577355021,1.577355021,1,FALSE,TRUE,5,0,0,4.799,68303,17,TRUE,1.1,0.9,
  'Cleanrath',60,0,1.05,,-14.01509024,14.01509024,1,FALSE,TRUE,5,0,0,42.64,68297,17,TRUE,1.1,0.9,
 'Raragh_ph2',62,0,1.05,,-3.77986721,3.77986721,1,FALSE,TRUE,7,0,0,11.5,68294,17,TRUE,1.1,0.9,
 'Lisdowne_ph1',65,0,1.05,,-3.023893768,3.023893768,1,FALSE,TRUE,11,0,0,9.2,68285,17,TRUE,1.1,0.9,
 'BeamHill_ph2',66,0,1.04,,-2.267920326,2.267920326,1,FALSE,TRUE,1,0,0,6.9,68284,17,TRUE,1.1,0.9,
 'Cordal_ph2',68,0,1.05,,-29.53226685,29.53226685,1,FALSE,TRUE,5,0,0,89.85,68272,17,TRUE,1.1,0.9,
  'Kiltumper',70,0,1.05,,-1.640133685,1.640133685,1,FALSE,TRUE,4,0,0,4.99,68267,17,TRUE,1.1,0.9,
 'Teevurch_ph1',71,0,1,,-2.958156947,2.958156947,1,FALSE,TRUE,7,0,0,9,68265,17,TRUE,1.1,0.9,
 'Stack_Mounta',72,0,1.052,,-8.315707861,8.315707861,1,FALSE,TRUE,5,0,0,30,68262,17,TRUE,1.1,0.9,
 'Cronalag_ph2',73,0,1.05,,-5.903166529,5.903166529,1,FALSE,TRUE,1,0,0,17.96,68260,17,TRUE,1.1,0.9,
 'Carrowle_ph2',74,0,1,,-0.871012879,0.871012879,1,FALSE,TRUE,2,0,0,2.65,68254,17,TRUE,1.1,0.9,
 'Gortnahu_ph1',75,0,1.05,,-11.14239117,11.14239117,1,FALSE,TRUE,2,0,0,33.9,68247,17,TRUE,1.1,0.9,
 'Meenachu_ph2',76,0,1.05,,-0.6244998,0.6244998,1,FALSE,TRUE,1,0,0,1.9,68244,17,TRUE,1.1,0.9,
