name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
   Offshore  to   'Knockraha',,1867,1596,18.6,5.67E-02,4.20E-01,8.62E+00,1.45152,0,1.031357526,220,392.9999999,1,1,,110,TRUE,1062,1.228181482,7,468
   'Aghada' to   'Offshore Knockraha',,1778,1867,7,5.67E-02,4.20E-01,8.62E+00,1.45152,0,1.031357526,220,392.9999999,1,1,,110,TRUE,1061,1.228181482,7,468
   Offshore  to   'Knockraha' 2,,1867,1596,18.6,5.67E-02,4.20E-01,8.62E+00,1.45152,0,1.031357526,220,392.9999999,1,1,,110,TRUE,1060,1.228181482,7,468
   'Aghada_B' to   'Offshore Knockraha',,1777,1867,7,5.67E-02,4.20E-01,8.62E+00,1.45152,0,1.031357526,220,392.9999999,1,1,,110,TRUE,1059,1.228181482,7,468
     Banoge to      Kish DC,,1729,1866,22,8.64E-02,3.97E-01,9.26E+00,2.5061184,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1058,1.102214151,18,210
     'Arklow' to      Kish DC,,1769,1866,7,8.64E-02,3.97E-01,9.26E+00,2.5061184,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1057,1.102214151,18,210
 Timahoe to     Coolcor,,1448,1861,7,7.61E-02,3.93E-01,9.34E+00,1.9120125,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1056,1.102214151,206,210
  'Derryiron' to     Coolcor,,1657,1861,18.125,7.61E-02,3.93E-01,9.34E+00,1.9120125,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1055,1.102214151,206,210
   Killonan to   Ballyvalode,,707,1860,23.236,7.62E-02,3.93E-01,9.26E+00,2.2277832,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1054,1.102214151,407,210
    'Cauteen' to   Ballyvalode,,1441,1860,6,7.62E-02,3.93E-01,9.26E+00,2.2277832,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1053,1.102214151,407,210
Curraghtown to Paddock,,5,1859,12.2,5.71E-02,4.20E-01,8.62E+00,1.43892,0,1.138954622,220,434,1,1,,110,TRUE,1052,1.346275855,448,513
Paddock to Woodland,,1859,1430,13,5.71E-02,4.20E-01,8.62E+00,1.43892,0,1.138954622,220,434,1,1,,110,TRUE,1051,1.346275855,448,513
  Shannonbridge to  Ballydonagh,,1476,1858,16,1.81E-01,4.14E-01,9.67E+00,8.303918,0,0.545858436,110,103.9999999,1,1,,110,TRUE,1050,0.624588019,9,119
  'Agannygal' to  Ballydonagh,,1774,1858,29.878,1.81E-01,4.14E-01,9.67E+00,8.303918,0,0.545858436,110,103.9999999,1,1,,110,TRUE,1049,0.624588019,9,119
Whitegate to  Rathcoursey,,1428,1857,8.786,1.85E-01,4.18E-01,8.60E+00,3.29041,0,0.519615242,110,98.99999995,1,1,,110,TRUE,1048,0.635085296,153,121
