name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,
101,1866,150,49.30451128,0,0,,1,TRUE,wye,Kish DC
102,1865,75,24.65225564,0,0,,1,TRUE,wye,GreatIsland
103,1864,75,24.65225564,0,0,,1,TRUE,wye,Knockraha
104,1863,75,24.65225564,0,0,,1,TRUE,wye,Killonann
105,1862,75,24.65225564,0,0,,1,TRUE,wye,Cashla
20701,1002,159.6,52.46,0,0,,1,TRUE,wye,CRUISERATH
24202,862,139.65,45.9,0,0,,1,TRUE,wye,Corkagh
15202,1201,135.38,44.5,0,0,,1,TRUE,wye,Clonee
33502,694,116.85,38.41,0,0,,1,TRUE,wye,Kellystown
18101,1085,108.3,35.596,0,0,,1,TRUE,wye,Darndale
14502,1230,73.15,24,0,0,,1,TRUE,wye,Cloghran
28601,781,61.62,11.06,0,0,,1,TRUE,wye,GrangeCastl
28601,781,61.62,11.06,0,0,,1,TRUE,wye,GrangeCastl
28601,781,61.62,11.06,0,0,,1,TRUE,wye,GrangeCastl
28601,781,61.62,11.06,0,0,,1,TRUE,wye,GrangeCastl
36503,608,60.8,19.98,0,0,,1,TRUE,wye,Barnakyle
2962,1609,60.8,19.98,0,0,,1,TRUE,wye,Huntstown
1411,1743,57,18.73,0,0,,1,TRUE,wye,AirtonRoad
17802,1091,50.8,24.52,0,0,,1,TRUE,wye,Castlefarm
18102,1084,45.6,14.99,0,0,,1,TRUE,wye,Clutterland
46902,424,45.6,14.99,0,0,,1,TRUE,wye,Oldbridge
36802,607,39.42,12.96,0,0,,1,TRUE,wye,Aungierstown
41102,526,37.04,12.18,0,0,,1,TRUE,wye,Bancroft
46210,445,34.84,14,0,0,,1,TRUE,wye,Ryebrook_FAB
46214,444,34.84,14,0,0,,1,TRUE,wye,RyebrookFAB
46224,443,34.84,14,0,0,,1,TRUE,wye,RyebrookFAB
34301,689,33.25,10.93,0,0,,1,TRUE,wye,Kilmahud
51110,342,33.25,10.92,0,0,,1,TRUE,wye,Snughborough
51110,342,33.25,10.92,0,0,,1,TRUE,wye,Snughborough
41002,527,30.4,9.99,0,0,,1,TRUE,wye,Newbury
35404,669,29.68,-0.02,0,0,,1,TRUE,wye,Limerick
3921,1828,29.45,9.68,0,0,,1,TRUE,wye,Metro North
54404,190,28.48,0.4,0,0,,1,TRUE,wye,Waterford
32302,734,26.6,8.74,0,0,,1,TRUE,wye,Kilcarbery
27004,830,26.57,8.34,0,0,,1,TRUE,wye,Glasmore
11404,1368,26.33,-2.73,0,0,,1,TRUE,wye,Athlone
28604,779,25.84,-0.96,0,0,,1,TRUE,wye,GrangeCastl
27804,797,25.39,-0.61,0,0,,1,TRUE,wye,Galway
21804,961,23.91,-0.69,0,0,,1,TRUE,wye,Drybridge
32702,708,23.75,7.81,0,0,,1,TRUE,wye,Kishoge
3911,1827,23.75,7.81,0,0,,1,TRUE,wye,Metro Airpor
33201,696,23.66,10.99,0,0,,1,TRUE,wye,Knockumber
28201,790,22.8,7.49,0,0,,1,TRUE,wye,Gortawee
27204,827,22.19,-0.21,0,0,,1,TRUE,wye,Griffinrath
23604,874,21.65,1.88,0,0,,1,TRUE,wye,Ennis
15,1781,21.64,-0.8,0,0,,1,TRUE,wye,I_M
39801,561,21.5,12.1,0,0,,1,TRUE,wye,Mungret
10,1786,21.47,4.2,0,0,,1,TRUE,wye,F_M
13702,1269,21.38,7.03,0,0,,1,TRUE,wye,Barnageeragh
18004,1087,21.34,-3.64,0,0,,1,TRUE,wye,Cookstown
25604,857,20.81,2.14,0,0,,1,TRUE,wye,Finglas
17404,1098,20.74,1.24,0,0,,1,TRUE,wye,Carrickmines
27604,807,19.72,-0.15,0,0,,1,TRUE,wye,Grange
51804,332,19.42,-0.23,0,0,,1,TRUE,wye,Trabeg
12,1784,19.18,2.16,0,0,,1,TRUE,wye,BedfordRow
13,1783,19.01,0.58,0,0,,1,TRUE,wye,M_R
53302,219,19,6.24,0,0,,1,TRUE,wye,YellowMeadow
30804,757,18.4,0.08,0,0,,1,TRUE,wye,Inchicore
