Element Type,Element Index,Element Name,Intact Loading %,Max Loading %,Cause Element,Cause Index,Cause Element Name
line,0,   Offshore  to   'Knockraha',36.55572958720031,56.13730336959642,line,1060,   Offshore  to   'Knockraha' 2
line,1,   'Aghada' to   'Offshore Knockraha',41.812676537525846,71.53059242676625,line,1059,   'Aghada_B' to   'Offshore Knockraha'
line,2,   Offshore  to   'Knockraha' 2,36.55572958720031,56.13730336959642,line,1062,   Offshore  to   'Knockraha'
line,3,   'Aghada_B' to   'Offshore Knockraha',41.796748068181074,71.52560563124538,line,1061,   'Aghada' to   'Offshore Knockraha'
line,4,     Banoge to      Kish DC,50.024250834627374,103.29667985524098,line,1057,     'Arklow' to      Kish DC
line,5,     'Arklow' to      Kish DC,47.37142513123957,91.10614997193701,line,1058,     Banoge to      Kish DC
line,6, Timahoe to     Coolcor,47.35321356968271,106.93201062446695,trafo,1324,Rathcobican'
line,7,  'Derryiron' to     Coolcor,1.377925676555739,62.03032778360878,trafo,1324,Rathcobican'
line,8,   Killonan to   Ballyvalode,64.48960966537676,130.84785963057803,line,167,      'Cahir' to   'Tipperary'
line,9,    'Cauteen' to   Ballyvalode,15.755495019177665,74.08570214991401,line,167,      'Cahir' to   'Tipperary'
line,10,Curraghtown to Paddock,24.571296612841614,118.79517420532379,line,1051,Paddock to Woodland
line,11,Paddock to Woodland,102.035168477391,149.00960676425257,line,429,      'Louth' to       'Oriel'
line,12,  Shannonbridge to  Ballydonagh,57.42864207194417,80.25621500726665,line,21,  'Agannygal' to       'Ennis'
line,13,  'Agannygal' to  Ballydonagh,26.482040263664423,82.94392210422787,line,1050,  Shannonbridge to  Ballydonagh
line,14,Whitegate to  Rathcoursey,5.871371465110959,54.85035061598794,line,464,Midleton to Lysaghtstown
line,15,  'Cow Cross' to  Rathcoursey,25.784651972879413,50.60232459332661,line,372,Knockraha to Lysaghtstown
line,16,Knockfinglas break in to Knockfinglas plant,49.9686878919452,49.04776206376217,line,412, 'Kilpaddoge' to  'Knockanure' 2
line,17,    'Athlone' to   Feamore,57.413125371095816,86.41520888087216,line,954,  'Shanonagh' to   'Lanesboro'
line,18,    Feamore to   'Lanesboro',57.135003446300246,85.75412481061385,line,954,  'Shanonagh' to   'Lanesboro'
line,19,Seven Hills to Feamore,3.906899215490295,6.868912699611789,line,1043,    'Athlone' to   Feamore
line,20,Lodgewood to   Offshore GC 2,30.160611447348312,43.08846857187018,line,940,   'Rosspile' to     'Wexford'
line,21, 'Great Island' to   Offshore GC 2,32.63380285589665,57.64722955064093,line,1037, 'Great Island' to      Offshore GC
line,22,Kellis to      Offshore GC,24.65698261329621,36.50879042166583,line,1040,Lodgewood to   Offshore GC 2
line,23, 'Great Island' to      Offshore GC,32.63380285589665,57.64722955064093,line,1039, 'Great Island' to   Offshore GC 2
line,24,      Lanesboro to   Roscommon,41.548847648943166,74.09632077301438,line,954,  'Shanonagh' to   'Lanesboro'
line,25,      'Cloon' to   Roscommon,28.146486901072993,80.99313361013056,line,283,   'Flagford' to  'Sliabh Bawn'
line,26,Ballygar to Roscommon,7.1331723095917665,3.004877503475077e-12,line,252,   'Dunstown' to  'Maynooth B' 2
line,27,Seven Hills to Ballygar,0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,28,Seven Hills to Athlone,0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,29,Modelligo to Dungarvan,39.636906477234014,39.636906477378496,trafo,795, 'Rathmull' 
line,30,   Coom Green to   'Killonan',33.257791297777224,40.56287935459649,line,57, 'Ballyvouskil' to  'Ballynahulla'
line,31,   Coom Green to   'Knockraha',32.91287394890532,40.56287935459904,line,57, 'Ballyvouskil' to  'Ballynahulla'
line,32,      'Coom Green' to Coom Green Option,0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,33,Kilnap to Coom Green Option,52.838774283419575,71.45491715903825,line,1004, 'Charleville' to    'Test_PV_2'
line,34,Mallow to Coom Green Option,52.89318616147344,71.64623658412039,line,1004, 'Charleville' to    'Test_PV_2'
line,35,Balbriggan to Belcamp,27.73338136461024,30.453691213539308,line,359,  'Irishtown' to  'Shellybanks'
