name,vn_kv,type,zone,in_service,min_vm_pu,max_vm_pu,index,bus_names,x1,y1,geodata,zone,,
,110,n,0,TRUE,0.9,1.1,1869,Gortyrahilly,275,890,"(-6.52743,53.413833)",5,0,13
,110,n,0,TRUE,0.9,1.1,1868,Knockanarragh,523,570,"(-6.52743,53.413833)",7,0,13
,220,n,16,TRUE,0.9,1.1,1867,Offshore GC Knockraha,395,910,"-395,910",10,0,0
,110,n,0,TRUE,0.9,1.1,1866,Kish DC,617,730,"-617,730",9,0,66
,20,b,0,TRUE,0.9,1.1,1865,Great Island DC,529,823,"-529,823",9,0,208
,20,b,0,TRUE,0.9,1.1,1864,Knockraha DC,376,889,"(-8.191219,51.571463)",10,0,1597
,20,b,0,TRUE,0.9,1.1,1863,Killonan DC,351,764,"(-8.54576999999999,52.640125)",5,0,1587
,20,b,0,TRUE,0.9,1.1,1862,Cashla DC,320,640,"(-8.85373,53.308161)",2,0,117
,110,n,0,TRUE,0.9,1.1,1861,Coolcor,515,631,"(-6.52165,53.205928)",11,0,1448
,110,n,23,TRUE,0.9,1.1,1860,Ballyvalode,390,778,"-390,778",8,0,
,220,n,23,TRUE,0.9,1.1,1859,Paddock,582,610,"-582,610",11,,
,110,n,23,TRUE,0.9,1.1,1858,Ballydonagh,388,656,"-388,656",3,,
,110,n,23,TRUE,0.9,1.1,1857,Rathcoursey,390,904,"-390,904",10,,
,220,n,0,TRUE,0.9,1.1,1856,Knockfinglas plant,255,777,"-255,777",5,1,93
,220,b,0,TRUE,0.9,1.1,1855,Knockfinglas break in,261,777,"-261,777",5,1,93
,110,n,23,TRUE,0.9,1.1,1854,Feamore,417,595,"-417,595",3,,
,220,n,16,TRUE,0.9,1.1,1853,Offshore GC,535,815,"-535,815",9,0,0
,110,n,23,TRUE,0.9,1.1,1852,Ballygar,400,592,"(-7.974483,53.422998)",3,0,69
,110,b,23,TRUE,0.9,1.1,1851,Roscommon,400,582,"(-7.974483,53.422998)",3,0,69
,110,n,23,TRUE,0.9,1.1,1850,Seven Hills,405,600,"(-7.974483,53.422998)",3,0,69
,110,n,23,FALSE,0.9,1.1,1849,Loughryan,427,815,"-457,840",12,0,
,110,n,23,FALSE,0.9,1.1,1848,Coumnag,457,840,"-457,840",12,0,
,110,b,23,FALSE,0.9,1.1,1847,Dyrick Hill,454,848,"-454,848",12,0,
,110,b,23,TRUE,0.9,1.1,1846,Modelligo,450,855,"-450,855",12,0,
,220,b,0,TRUE,0.9,1.1,1845,Coom Green 220kV,366,865,"-366,865",8,0,9
,110,b,0,TRUE,0.9,1.1,1844,Coom_Green_Mallow,355,865,"-355,865",8,0,9
,220,n,0,TRUE,0.9,1.1,1843,Balbriggan,611,587,"-590,587",11,,
,220,n,0,TRUE,0.9,1.1,1842,Shanganagh,612,652,"-612,652",11,,
,220,n,0,TRUE,0.9,1.1,1841,Carrowdotia,255,755,"255,755",5,,
,110,n,23,TRUE,0.9,1.1,1840,Curraghmore,405,840,"-405,840",8,0,126
,110,b,0,TRUE,0.9,1.1,1839,Flanagan BESS,438,760,"-438,760",8,1,2
,110,b,0,TRUE,0.9,1.1,1838,Dromana_110,467,850,"-467,850",12,1,2
91075,110,b,0,TRUE,0.9,1.1,1837,Test_PV_2,300,840,"-300,840",5,0,1
91074,110,b,0,TRUE,0.9,1.1,1836,Test_PV,320,630,"-320,630",2,0,1
91073,110,n,0,TRUE,0.9,1.1,1835,Mothel,482,824,"-482,824",8,0,2
91072,20,b,0,TRUE,0.9,1.1,1832,Killoran,0,0,0,8,1,3
,110,n,0,TRUE,0.9,1.1,1831,Castlebanny,502,794,"-502,794",9,,4
,110,n,0,TRUE,0.9,1.1,1830,Derrygreenagh,495,625,"-495,625",11,0,5
,110,n,0,TRUE,0.9,1.1,1829,Garr,501,628,"-501,628",11,0,6
3921,110,n,0,TRUE,0.9,1.1,1828,Metro North,0,0,,11,1,7
3911,110,n,0,TRUE,0.9,1.1,1827,Metro Airpor,0,0,,11,1,8
,110,n,0,TRUE,0.9,1.1,1826,Coom Green,362,865,"-362,865",8,0,9
91071,110,n,0,TRUE,0.9,1.1,1825,White Hill,520,750,"-520,750",9,0,10
91070,110,n,0,TRUE,0.9,1.1,1824,Millfarm,560,548,"-560,548",7,0,11
91069,220,n,0,TRUE,0.9,1.1,1823,Culmullin 220,560,610,"-560,610",11,0,12
91068,110,n,0,TRUE,0.9,1.1,1822,Culmullin 110,560,610,"-560,610",11,0,13
91067,110,n,0,TRUE,0.9,1.1,1821,Clonymeath,550,617,"-550,617",11,1,14
91066,110,n,0,TRUE,0.9,1.1,1820,Kilcormac,450,675,"-450,675",11,0,15
91065,110,n,0,TRUE,0.9,1.1,1819,Coolcarrigan,535,638,"-535,638",11,0,16
91064,220,n,0,TRUE,0.9,1.1,1818,Derrygreenagh,495,625,"-495,625",11,0,17
91063,220,n,0,TRUE,0.9,1.1,1817,Rathcobican,490,638,"-490,638",11,0,18
91062,220,n,0,TRUE,0.9,1.1,1816,Castlelost,480,632,"-480,632",11,0,19
91063,380,n,0,TRUE,0.9,1.1,1815,Rathcobican,490,638,"-490,638",11,0,20
91061,110,n,17,TRUE,0.9,1.1,1814,Craddanstown,505,595,"-505,595",11,0,21
91060,38,b,17,TRUE,0.9,1.1,1813,Farranrory WF,0,0,,9,1,22
91059,38,b,0,TRUE,0.9,1.1,1812,Ballyragget 38,0,0,,9,1,23
91058,110,n,17,TRUE,0.9,1.1,1811,Lislea,510,490,"-550,617",7,0,24
91057,110,n,17,TRUE,0.9,1.1,1810,Philipstown,507,644,"-507,644",11,0,25
91056,110,n,17,TRUE,0.9,1.1,1809,Shrownoen,252,791,"(-9.264296,52.302559)",5,0,26
91055,110,n,17,TRUE,0.9,1.1,1808,Garrintaggart,485,729,"-485,729",9,0,27
