Bus_ID,Cum_sOTDF,Avg_sOTDF,Med_sOTDF,Max_sOTDF,Min_sOTDF,Bus_real_name,Circuit_Involved_max,Branch_Loading_max,Scaled_OTDF_Contribution_max,Wind CF,Solar CF,Circuit_Involved_min,Branch_Loading_min,Scaled_OTDF_Contribution_min,Sum_Spilled_Solar,Sum_Used_Solar,Sum_Spilled_Solar_pct,Sum_Spilled_Wind,Sum_Used_Wind,Sum_Spilled_Wind_pct
0,22639.38458,0.174902538,-0.941354416,24.39327422,-21.61197444,Knockraha__0,"''Great Island' to      Offshore GC' (orig_from=1626, orig_to=1853)",120.5405873,24.39327422,0.035,0,"''Clashavoon' to   'Knockraha'' (orig_from=1722, orig_to=1596)",80.79444088,-21.61197444,277.5533795,11253.2984,2.407019162,886.1579213,26876.84454,3.19186659
3,1656.811899,0.009919782,-1.151851263,42.67161726,-50.72945858,DromanaHV__3,"''Cullenagh' to   'Dromana'' (orig_from=1682, orig_to=3)",93.80805126,42.67161726,0.917037546,0.227,"''Knockraha' to   'Dromana'' (orig_from=1596, orig_to=3)",93.84710728,-50.72945858,331.3900616,11199.46171,2.873905659,980.8078865,26782.19457,3.532787835
5,284078.6101,1.847569623,-1.212555663,116.0571684,-18.4019796,CurraghtownHV__5,"''Louth' to       'Oriel'' (orig_from=1564, orig_to=148)",117.397543,116.0571684,0.309000099,0.94289741,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,-18.4019796,3653.21374,7850.838035,31.68167323,1935.917572,25556.87489,6.9730129
1439,109529.8398,0.835818534,1.00266568,55.05954305,-29.03065513,Tralee__1439,"''Kilpaddoge' to      'Shrownoen'' (orig_from=1572, orig_to=1809)",140.717556,55.05954305,0.919884895,0.388,Transformer: MP4201,103.2007931,-29.03065513,382.0979582,11148.75382,3.31365847,1847.830667,25915.17179,6.655731252
13,50088.81368,0.317092064,-1.367551132,75.39262501,-22.46415349,Balruntagh__13,"'Balruntagh to Navan' (orig_from=1512, orig_to=13)",97.26833091,75.39262501,0.922020407,0,"'Knockanarragh to Balruntagh' (orig_from=1868, orig_to=13)",95.53641495,-22.46415349,2064.994533,9443.017242,17.90819992,1293.035294,26416.19717,4.657404799
25,832776.5001,5.882228501,1.190112345,153.4287676,-14.78583961,Timoney__25,"''Cahir' to   'Kill Hill'' (orig_from=1709, orig_to=1651)",155.5753208,153.4287676,0.919884895,0.388,Transformer: SH_2101',95.25410322,-14.78583961,1970.583448,9560.268327,17.08944105,5384.011959,22378.9905,19.39276
29,201540.8208,1.522234632,-0.989434,127.6389392,-64.21335262,Lysaghtstown__29,"'Knockraha to Lysaghtstown' (orig_from=1594, orig_to=29)",127.931371,127.6389392,0.021,0.96,"'Knockraha to Lysaghtstown' (orig_from=1594, orig_to=29)",82.11214785,-64.21335262,3477.472254,8053.379521,30.15759478,1226.530578,26536.47188,4.417860381
47,2054154.172,13.80034782,2.248597363,145.2326223,-31.09536197,MullyGraffy__47,"''Cath_Fall' to   'Srananagh'' (orig_from=1711, orig_to=1466)",151.9144606,145.2326223,0.650869098,0,Transformer: SRA2101',117.3421084,-31.09536197,2173.857529,9334.154246,18.85228973,16932.82615,10776.40631,60.99062115
120,-7790.438274,-0.046913112,-1.136637838,82.25509537,-41.38813729,Knocknamona__120,"''Dungarvan' to   'Woodhouse'' (orig_from=1669, orig_to=1423)",82.82563647,82.25509537,0.919884895,0,"''Woodhouse' to   'Lyrencarriga'' (orig_from=1423, orig_to=1795)",82.52853949,-41.38813729,322.4328435,11208.41893,2.796226203,1216.848582,26546.15388,4.382986644
146,161004.5647,0.98117875,-1.205518666,116.057442,-15.40788273,Orieloffsho__146,"''Louth' to       'Oriel'' (orig_from=1564, orig_to=148)",117.397543,116.057442,0.309000099,0.94289741,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,-15.40788273,3483.880109,8024.131666,30.21316546,1774.915036,25934.31742,6.393095257
147,161004.6017,0.981178976,-1.205518943,116.0574687,-15.40788627,Oriellandin__147,"''Louth' to       'Oriel'' (orig_from=1564, orig_to=148)",117.397543,116.0574687,0.309000099,0.94289741,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,-15.40788627,3483.880924,8024.130851,30.21317253,1774.915447,25934.31701,6.393096736
148,161004.8558,0.981180524,-1.205520845,116.0576518,-15.40791059,Oriel__148,"''Louth' to       'Oriel'' (orig_from=1564, orig_to=148)",117.397543,116.0576518,0.309000099,0.94289741,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,-15.40791059,3483.886519,8024.125256,30.21322105,1774.918264,25934.3142,6.393106884
149,69870.81888,0.59557284,1.262637111,78.55634086,-32.68101504,CUREENY__149,"''BUNKIMALT' to     'CUREENY'' (orig_from=152, orig_to=149)",78.73704944,78.55634086,0.922732245,0,Transformer: KLN2103',90.35893941,-32.68101504,285.3409618,11245.49081,2.474555215,991.5352627,26721.6972,3.571426945
151,231639.9982,1.469125768,1.660043739,50.13709394,-55.77826834,SliabhBawn__151,"''Flagford' to  'Sliabh Bawn'' (orig_from=1645, orig_to=151)",95.5632233,50.13709394,0.005,0.907,"''Lanesboro' to  'Sliabh Bawn'' (orig_from=1566, orig_to=151)",105.2123166,-55.77826834,964.4592854,10543.55249,8.364055896,2330.705017,25378.52744,8.395004204
152,54916.15079,0.468839863,1.258524795,14.40538024,-32.68103751,BUNKIMALT__152,"''Ardnacrusha' to       'Ennis'' (orig_from=1780, orig_to=1652)",102.5230654,14.40538024,0.004,0.958,Transformer: KLN2103',90.35893941,-32.68103751,285.3411641,11245.49061,2.474556969,991.5359456,26721.69651,3.571429405
176,450.9753423,37.58127853,37.55362956,37.68945462,37.51090572,Portan__176,Transformer:  'Woodland' ,75.37899987,37.68945462,0.922020407,0,Transformer:  'Woodland' ,75.02190165,37.51090572,0,0.06,0,0,110.4288977,0
177,-450.9753424,-37.58127853,-37.55362956,-37.51090573,-37.68945462,EASTWEST__177,Transformer:  'Woodland' ,75.02190165,-37.51090573,0.919173058,0,Transformer:  'Woodland' ,75.37899987,-37.68945462,0,0.06,0,0,110.4288977,0
178,1804.753751,0.011864326,-1.259403939,22.85148557,-27.20171009,Woodland__178,Transformer: WOO4201',78.10605913,22.85148557,0.356,0,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,-27.20171009,472.5107514,11031.54102,4.097743053,1079.618212,26413.17425,3.88869435
301,100860.8792,0.819793868,0.823478332,73.52864086,-30.88802895,Trien__301,"''Knockanure' to       'Trien' 2' (orig_from=1600, orig_to=1442)",107.4576849,73.52864086,0.922020407,0,Transformer: MP4201,103.2007931,-30.88802895,255.4215468,11275.22023,2.215085828,2064.370784,25636.66168,7.435690609
315,-70641.92335,-0.603529521,1.053261503,76.18155209,-108.0122406,TulbrkT__315,"''Booltiagh' to       'Ennis'' (orig_from=1757, orig_to=1652)",76.71000885,76.18155209,0.922020407,0,"''Booltiagh' to    'Tulbrk T'' (orig_from=1757, orig_to=315)",108.7621168,-108.0122406,238.2999943,11292.34178,2.06660302,779.1410344,26921.89143,2.806400729
324,-324818.5938,-1.887975273,-1.752862674,20.27128344,-19.57751207,TURLG1__324,"''Castlebagot' to  'Maynooth B'' (orig_from=1568, orig_to=1540)",82.24028235,20.27128344,0.70972122,0.663446183,"''maynooth' to  'Culmullin'' (orig_from=1540, orig_to=1823)",158.0281177,-19.57751207,246.094069,11284.75771,2.134195378,692.2459996,27070.75646,2.493412094
326,1376691.287,9.220293796,2.10633402,145.1966368,-126.2825481,Carrickaduff__326,"''Cath_Fall' to   'Srananagh'' (orig_from=1711, orig_to=1466)",151.9144606,145.1966368,0.650869098,0,"''Drumkeen' to     'Clogher'' (orig_from=1653, orig_to=777)",127.1775482,-126.2825481,2169.906958,9338.104817,18.8180293,16839.41129,10869.82117,60.65414866
327,1816830.935,12.50382607,2.263162131,145.1966103,-31.08765155,Carrickalang__327,"''Cath_Fall' to   'Srananagh'' (orig_from=1711, orig_to=1466)",151.9144606,145.1966103,0.650869098,0,Transformer: SRA2101',117.3421084,-31.08765155,2169.906559,9338.105216,18.81802584,16839.40819,10869.82427,60.65413748
339,-858253.0529,-6.560063081,-0.859733613,25.97425609,-192.5563358,Tarbert__339,"''Woodland' to    'Rathcobican'' (orig_from=1429, orig_to=1815)",80.4509807,25.97425609,0.004,0,"''Kilpaddoge' to     'Tarbert' 4' (orig_from=1572, orig_to=339)",193.8835941,-192.5563358,236.7043645,11293.93741,2.052765281,799.2247916,26901.80767,2.87874074
340,-783575.3144,-4.231242383,-2.539860641,22.72416316,-77.30065192,CentralPark__340,"''INCHICORE' to  'Poolbeg Sout'' (orig_from=756, orig_to=1496)",105.0623999,22.72416316,0.005,0,Transformer: INC2102',78.7404998,-77.30065192,843.8988197,10686.95296,7.318522415,660.2640571,27102.7384,2.378215816
344,-239925.3827,-1.473598311,-1.348027616,11.58655776,-63.14551128,StratfT__344,"''Great Island' to      Offshore GC' (orig_from=1626, orig_to=1853)",91.77902943,11.58655776,0.245399243,0.92489117,"''Carlow' to      'Kellis'' (orig_from=1692, orig_to=1580)",84.7987308,-63.14551128,281.3832148,11249.46856,2.440232545,755.5537519,27007.44871,2.721441314
358,23564.77961,0.188042865,0.866597362,34.36789261,-66.87193327,SomrstT__358,"''Cashla' to  'Shantallow'' (orig_from=1718, orig_to=1454)",110.3551167,34.36789261,0.004,0.956,"''Shannonbridg' to    'Somrst T'' (orig_from=1476, orig_to=358)",98.09277731,-66.87193327,607.8990754,10684.7127,5.271867795,750.9304503,26698.08201,2.704788569
485,101627.6671,0.810253511,1.051195701,48.52948016,-27.69726851,OutaghT__485,"''Kilpaddoge' to      'Shrownoen'' (orig_from=1572, orig_to=1809)",140.717556,48.52948016,0.919884895,0.388,Transformer: MP4201,103.2007931,-27.69726851,349.1421623,11181.68961,3.027856754,1705.178463,26008.054,6.141909964
