Branch_Name,Avg_Intact_Flow_Percent,Median_Intact_Flow_Percent,Max_Intact_Flow_Percent,Min_Intact_Flow_Percent,Avg_Post_Contingency_Flow_Percent,Median_Post_Contingency_Flow_Percent,Max_Post_Contingency_Flow_Percent,Min_Post_Contingency_Flow_Percent,Hour_Count,Worst_Case_Outage_For_Max
 Timahoe to     Coolcor,26.025251527349322,26.300962251834036,53.45705693213802,0.43442543348620777,53.6352977604183,50.167582811768014,102.51014631270687,17.87006088122706,2928, 'Maynooth B' to    'Rinawade'
  'Derryiron' to     Coolcor,19.093604299021177,16.772494000588857,51.81372031030767,0.20323889090546962,46.464601114760214,40.84859271569451,95.40471201537719,16.438233157444927,2928,  'Derryiron' to  'Thornsberry'
   Killonan to   Ballyvalode,23.460274725451608,15.94396575265441,77.28374104338747,0.8453740801292412,52.558354222682944,47.172132114091745,142.4383824894872,13.988031725410998,2928,    'CAUTEEN' to   'Tipperary'
    'Cauteen' to   Ballyvalode,14.925166572944823,13.593222950247547,35.312265325749905,8.406862163688807,42.76817644550463,40.389630422523844,117.80756715399508,15.334541677145745,2928,    'CAUTEEN' to   'Tipperary'
Curraghtown to Paddock,19.9740836908261,18.725027824181765,60.75686069957693,2.218301111491858,41.653064261397056,40.20524161493715,93.94949727511462,11.214003585320079,2928,     'Gorman' to  'Culmullin'
Paddock to Woodland,35.74183015109682,31.81663078210144,76.19533888783972,16.882070697407666,54.94844455268381,49.24869163953263,115.1681968894267,26.93738042229006,2928,     'maynooth' to  'Culmullin'
  Shannonbridge to  Ballydonagh,27.949669694839866,27.30474310546455,65.21613526073148,9.164827851426782,39.725196712507554,36.25221474425082,90.4235680359829,13.572838958936869,2928,  'Agannygal' to       'Ennis'
  'Agannygal' to  Ballydonagh,19.382526032748796,17.227393292674833,57.72316839591919,6.8101993440770014,33.070660725035395,26.525273556724947,88.23339738539073,14.442373157855588,2928,  Shannonbridge to  Ballydonagh
Whitegate to  Rathcoursey,15.779545666734048,15.371131334017317,42.67190963415434,0.6876499975895825,43.716351935863095,35.70074821751217,88.48108707150276,18.59749166911289,2928,  'Cow Cross' to  Rathcoursey
  'Cow Cross' to  Rathcoursey,35.00823613767814,35.71031793374625,62.75513668892565,3.023585430565985,56.05883355901739,52.35143385266445,111.55269816515214,19.321397776030338,2928,Knockraha to Lysaghtstown
