name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,scale
101,1866,150,49.30451128,0,0,,1,TRUE,wye,0
102,1865,75,24.65225564,0,0,,1,TRUE,wye,0
103,1864,75,24.65225564,0,0,,1,TRUE,wye,0
104,1863,75,24.65225564,0,0,,1,TRUE,wye,0
105,1862,75,24.65225564,0,0,,1,TRUE,wye,0
20701,1002,159.6,52.46,0,0,,1,TRUE,wye,0
24202,862,139.65,45.9,0,0,,1,TRUE,wye,0
15202,1201,135.38,44.5,0,0,,1,TRUE,wye,0
33502,694,116.85,38.41,0,0,,1,TRUE,wye,0
18101,1085,108.3,35.596,0,0,,1,TRUE,wye,0
28601,781,75.84,12.96,0,0,,1,TRUE,wye,0
28601,781,75.84,12.96,0,0,,1,TRUE,wye,0
28601,781,75.84,12.96,0,0,,1,TRUE,wye,0
28601,781,75.84,12.96,0,0,,1,TRUE,wye,0
21804,961,74.76,8.09,0,0,,1,TRUE,wye,1
14502,1230,73.15,24,0,0,,1,TRUE,wye,1
35404,669,69.97,6.76,0,0,,1,TRUE,wye,1
27004,830,67.42,19.12,0,0,,1,TRUE,wye,1
11404,1368,66.36,5.48,0,0,,1,TRUE,wye,1
36503,608,60.8,19.98,0,0,,1,TRUE,wye,1
2962,1609,60.8,19.98,0,0,,1,TRUE,wye,1
17404,1098,59.88,4.09,0,0,,1,TRUE,wye,1
27804,797,59.77,6.37,0,0,,1,TRUE,wye,1
18004,1087,59.06,7.34,0,0,,1,TRUE,wye,1
32204,740,58.06,8,0,0,,1,TRUE,wye,1
19004,1040,57.89,7.33,0,0,,1,TRUE,wye,1
10,1786,57.07,6.61,0,0,,1,TRUE,wye,1
1411,1743,57,18.73,0,0,,1,TRUE,wye,1
15,1781,56.63,4.59,0,0,,1,TRUE,wye,1
21004,998,55.07,7.7,0,0,,1,TRUE,wye,1
35804,654,53.02,8.18,0,0,,1,TRUE,wye,1
27204,827,52.69,5.4,0,0,,1,TRUE,wye,1
42204,515,51.98,8.53,0,0,,1,TRUE,wye,1
23604,874,51.42,8.81,0,0,,1,TRUE,wye,1
25604,857,50.89,8.66,0,0,,1,TRUE,wye,1
17802,1091,50.8,24.52,0,0,,1,TRUE,wye,1
24804,861,49.72,14.63,0,0,,1,TRUE,wye,1
49604,398,47.97,4.78,0,0,,1,TRUE,wye,1
27604,807,47.58,11.64,0,0,,1,TRUE,wye,1
38204,595,47.28,13.8,0,0,,1,TRUE,wye,1
52804,258,47.1,6.13,0,0,,1,TRUE,wye,1
30804,757,46.46,2.34,0,0,,1,TRUE,wye,1
11,1785,46.07,4.59,0,0,,1,TRUE,wye,1
49804,386,45.88,3.84,0,0,,1,TRUE,wye,1
18102,1084,45.6,14.99,0,0,,1,TRUE,wye,1
46902,424,45.6,14.99,0,0,,1,TRUE,wye,1
54404,190,45.33,4.07,0,0,,1,TRUE,wye,1
51804,332,43.72,3.61,0,0,,1,TRUE,wye,1
28604,779,41.85,0.71,0,0,,1,TRUE,wye,1
13,1783,41.54,1.48,0,0,,1,TRUE,wye,1
14,1782,41.19,6.61,0,0,,1,TRUE,wye,1
21404,982,40.85,5.47,0,0,,1,TRUE,wye,1
32604,712,40.55,5.51,0,0,,1,TRUE,wye,1
12,1784,40.03,2.14,0,0,,1,TRUE,wye,1
36802,607,39.42,12.96,0,0,,1,TRUE,wye,1
55004,172,39.03,6.91,0,0,,1,TRUE,wye,1
14204,1245,37.59,2.57,0,0,,1,TRUE,wye,1
40004,558,37.42,5.71,0,0,,1,TRUE,wye,1
41102,526,37.04,12.18,0,0,,1,TRUE,wye,1
49501,406,36.69,0.78,0,0,,1,TRUE,wye,1
14404,1241,35.4,5.39,0,0,,1,TRUE,wye,1
42004,524,35.11,4.82,0,0,,1,TRUE,wye,1
46804,435,34.99,3.01,0,0,,1,TRUE,wye,1
46210,445,34.84,14,0,0,,1,TRUE,wye,1
46214,444,34.84,14,0,0,,1,TRUE,wye,1
46224,443,34.84,14,0,0,,1,TRUE,wye,1
14804,1221,33.7,5.1,0,0,,1,TRUE,wye,1
11204,1390,33.68,1.05,0,0,,1,TRUE,wye,1
33004,705,33.36,6.53,0,0,,1,TRUE,wye,1
44804,460,33.27,5.97,0,0,,1,TRUE,wye,1
34301,689,33.25,10.93,0,0,,1,TRUE,wye,1
51110,342,33.25,10.92,0,0,,1,TRUE,wye,1
51110,342,33.25,10.92,0,0,,1,TRUE,wye,1
47004,423,30.48,6.12,0,0,,1,TRUE,wye,1
41002,527,30.4,9.99,0,0,,1,TRUE,wye,1
3921,1828,29.45,9.68,0,0,,1,TRUE,wye,1
10204,1422,29.34,3.65,0,0,,1,TRUE,wye,1
32404,732,29.31,7.37,0,0,,1,TRUE,wye,1
53204,225,29.18,4.96,0,0,,1,TRUE,wye,1
22208,936,28.86,3.95,0,0,,1,TRUE,wye,1
16604,1134,27.74,3.4,0,0,,1,TRUE,wye,1
19601,1019,27.09,3.96,0,0,,1,TRUE,wye,1
32302,734,26.6,8.74,0,0,,1,TRUE,wye,1
18402,1071,26.33,3.4,0,0,,1,TRUE,wye,1
35604,664,25.99,5.88,0,0,,1,TRUE,wye,1
31004,754,25.69,5.1,0,0,,1,TRUE,wye,1
21204,990,25.56,8.22,0,0,,1,TRUE,wye,1
14604,1228,25.53,1.69,0,0,,1,TRUE,wye,1
40404,550,25.3,3.04,0,0,,1,TRUE,wye,1
55201,159,25.04,7.29,0,0,,1,TRUE,wye,1
20402,1004,24.9,4.1,0,0,,1,TRUE,wye,1
53004,239,24.52,4.73,0,0,,1,TRUE,wye,1
18604,1056,24.04,2.05,0,0,,1,TRUE,wye,1
32702,708,23.75,7.81,0,0,,1,TRUE,wye,1
