name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,,scale
101,1866,150,49.30451128,0,0,,1,TRUE,wye,Kish DC,0
102,1865,75,24.65225564,0,0,,1,TRUE,wye,GreatIsland,0
103,1864,75,24.65225564,0,0,,1,TRUE,wye,Knockraha,0
104,1863,75,24.65225564,0,0,,1,TRUE,wye,Killonann,0
105,1862,75,24.65225564,0,0,,1,TRUE,wye,Cashla,0
20701,1002,159.6,52.46,0,0,,1,TRUE,wye,CRUISERATH,0
24202,862,139.65,45.9,0,0,,1,TRUE,wye,Corkagh,0
15202,1201,135.38,44.5,0,0,,1,TRUE,wye,Clonee,0
33502,694,116.85,38.41,0,0,,1,TRUE,wye,Kellystown,0
18101,1085,108.3,35.596,0,0,,1,TRUE,wye,Darndale,0
21804,961,101.76,11,0,0,,1,TRUE,wye,Drybridge,1
35404,669,95.24,9.21,0,0,,1,TRUE,wye,Limerick,1
27004,830,91.77,26.03,0,0,,1,TRUE,wye,Glasmore,1
11404,1368,90.33,7.47,0,0,,1,TRUE,wye,Athlone,1
17404,1098,81.51,5.57,0,0,,1,TRUE,wye,Carrickmines,1
27804,797,81.35,8.68,0,0,,1,TRUE,wye,Galway,1
18004,1087,80.39,10,0,0,,1,TRUE,wye,Cookstown,1
32204,740,79.02,10.9,0,0,,1,TRUE,wye,Kilbarry,1
19004,1040,78.8,9.98,0,0,,1,TRUE,wye,Carlow,1
10,1786,77.69,8.99,0,0,,1,TRUE,wye,F_M,1
15,1781,77.08,6.26,0,0,,1,TRUE,wye,I_M,1
21004,998,74.96,10.48,0,0,,1,TRUE,wye,Dundalk,1
14502,1230,73.15,24,0,0,,1,TRUE,wye,Cloghran,1
35804,654,72.18,11.15,0,0,,1,TRUE,wye,Letterkenny,1
27204,827,71.71,7.35,0,0,,1,TRUE,wye,Griffinrath,1
42204,515,70.77,11.6,0,0,,1,TRUE,wye,Navan,1
23604,874,69.98,12,0,0,,1,TRUE,wye,Ennis,1
25604,857,69.27,11.78,0,0,,1,TRUE,wye,Finglas,1
24804,861,67.67,19.92,0,0,,1,TRUE,wye,Fassaroe,1
49604,398,65.29,6.51,0,0,,1,TRUE,wye,Shankill,1
27604,807,64.77,15.85,0,0,,1,TRUE,wye,Grange,1
38204,595,64.37,18.79,0,0,,1,TRUE,wye,MeathHill,1
52804,258,64.12,8.35,0,0,,1,TRUE,wye,Tralee,1
30804,757,63.24,3.19,0,0,,1,TRUE,wye,Inchicore,1
11,1785,62.7,6.26,0,0,,1,TRUE,wye,FMNLOOP,1
49804,386,62.44,5.24,0,0,,1,TRUE,wye,Sligo,1
54404,190,61.71,5.54,0,0,,1,TRUE,wye,Waterford,1
36503,608,60.8,19.98,0,0,,1,TRUE,wye,Barnakyle,1
2962,1609,60.8,19.98,0,0,,1,TRUE,wye,Huntstown,1
51804,332,59.5,4.9,0,0,,1,TRUE,wye,Trabeg,1
1411,1743,57,18.73,0,0,,1,TRUE,wye,AirtonRoad,1
28604,779,56.97,0.97,0,0,,1,TRUE,wye,GrangeCastl,1
13,1783,56.54,2.02,0,0,,1,TRUE,wye,M_R,1
14,1782,56.07,8.99,0,0,,1,TRUE,wye,F_I,1
21404,982,55.61,7.46,0,0,,1,TRUE,wye,Dungarvan,1
32604,712,55.19,7.49,0,0,,1,TRUE,wye,Kilkenny,1
12,1784,54.5,2.92,0,0,,1,TRUE,wye,BedfordRow,1
55004,172,53.12,9.41,0,0,,1,TRUE,wye,Wexford,1
14204,1245,51.17,3.51,0,0,,1,TRUE,wye,Blackrock,1
40004,558,50.93,7.78,0,0,,1,TRUE,wye,Mullingar,1
17802,1091,50.8,24.52,0,0,,1,TRUE,wye,Castlefarm,1
49501,406,49.94,1.07,0,0,,1,TRUE,wye,Salthill,1
14404,1241,48.19,7.34,0,0,,1,TRUE,wye,Bandon,1
42004,524,47.78,6.56,0,0,,1,TRUE,wye,Newbridge,1
