name,index,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_step_degree,tap_pos,parallel,max_loading_percent,in_service,tap_changer_type
 'Dublin W' ,698,1424,439,95,110,11,20,0.3,25,0.03,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
    'Belcamp' to  'Courtlough',1197,1737,1083,63,110,10,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
    'Belcamp' to  'Courtlough',1196,1737,1083,63,110,10,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
    'Belcamp' to  'Courtlough',1195,1737,1083,63,110,10,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
    'Belcamp' to  'Courtlough',1194,1737,1083,63,110,10,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
     'Deenes' to      'Deenes',1190,1734,1216,120,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'CLOGHBOO' ,1188,1732,1212,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Corderry' to    'Corderry',1167,1719,1164,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
  'Cloncreen' to   'Cloncreen',1159,1714,1122,105,110,33,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Darndale' to    'Darndale',1132,1701,1085,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Darndale' to    'Darndale',1131,1701,1085,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Darndale' to    'Darndale',1130,1701,1085,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Darndale' to    'Darndale',1129,1701,1085,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Clutterl' ,1128,1700,1084,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Clutterl' ,1127,1700,1084,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Clutterl' ,1126,1700,1084,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Clutterl' ,1125,1700,1084,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Castleview' to  'Castleview',1100,1687,1017,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Castleview' to  'Castleview',1099,1687,1017,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Coomagea' ,1098,1686,1016,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Coomagea' ,1097,1686,1015,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Seecon' ,1082,1672,1000,100,110,33,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Seecon' ,1081,1672,1000,100,110,33,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
   'Firlough' to    'Firlough',1032,1635,851,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
GREATISL',1018,1626,811,560,220,21,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
BordGais',1002,1617,782,560,220,19,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Huntstow2',991,1609,761,433,220,10.5,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Huntstow',990,1609,760,433,220,16,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Huntstow3',989,1609,759,460,220,20,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Irishtow' ,979,1601,747,480,220,21,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'KNOCKACU' ,945,1576,692,100,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Rathmull' ,795,1487,424,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Rathmull' ,794,1487,424,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Rathmull' ,793,1487,424,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Rathmull' ,792,1487,424,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Salthill' ,777,1473,406,63,110,10,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Salthill' ,776,1473,404,63,110,38,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Shellyba' ,766,1468,353,180,220,11,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Shellyba' ,753,1459,352,180,220,11,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
TMH_L',741,1448,323,175,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'SHELLYBA' ,739,1446,351,9999,220,15.75,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Mayo Ren' ,733,1443,305,63,110,13.8,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Longpoin' ,692,1409,1408,500,220,21,18,0.4,55,0.06,0,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
     'Deenes' to      'Deenes',580,1216,1215,127.5,20,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
  'Cloncreen' to   'Cloncreen',528,1122,1121,125,33,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Coomagea' ,477,1016,1014,47.1,20,1,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Coomagea' ,476,1015,1013,9,20,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Seecon' ,469,1000,135,122.4,33,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
    'Drombeg' to  'Drombeg Sola',456,978,977,100,20,0.4,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
   'Firlough' to    'Firlough',385,851,850,58.5,20,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Garballagh' to  'Garballagh',379,833,832,200,20,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'KNOCKACU' ,324,692,691,105,20,0.66,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Loughteague' to  'Loughteague ',314,667,666,100,20,0.4,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Derrycarney' to  'Derrycarney ',311,659,657,100,20,0.4,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'LODGEWOO' ,284,624,625,63,110,20,18,0.32,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Carrickalang' to  'Croaghonagh',143,328,325,145.005,20,0.69,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
    'Timahoe' to  'Timahoe Nort',141,323,322,175,20,0.4,18,0.32,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'CUREENY' ,27,149,125,31.5,110,20,18,0.32,14,0.07,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'CUREENY' ,26,149,125,31.5,110,20,18,0.32,14,0.07,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'CUREENY' ,25,149,125,31.5,110,20,18,0.32,14,0.07,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'CUREENY' ,24,149,125,31.5,110,20,18,0.32,14,0.07,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Harlockstown solar ext Transformer,1,6,7,63.125,110,20,17.97951737,0.321019211,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Ballinknocka' to  'Ballinknocka',1246,1765,1362,60,110,20,17.76521739,0.322608696,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Coolnabacky' to  'Loughteague',922,1561,667,100,110,20,17.76521739,0.322608696,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Ballinknocka' to  'Ballinknocka',667,1362,1361,60,20,0.4,17.76521739,0.322608696,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Gorman ESS' to  'Gorman ESS',359,784,785,60,110,20,17.76521739,0.322608696,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Sliabh B' ,28,151,150,64.5714,110,20,17.74250876,0.332812711,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Barnadiv' ,880,1534,568,65,110,20,17.67227792,0.336307383,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'AGHADA' ,734,1443,306,70,110,10.5,17.65981271,0.33912213,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Gorman Solar Transformer,3,10,11,57.5,110,20,17.56956522,0.324782609,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Castlefa' ,1137,1704,1091,66.7,110,20,17.39371416,0.350168659,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Castlefa' ,514,1090,1091,66.7,110,20,17.39371416,0.350168659,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Derryiro' ,409,896,895,55,110,10.5,17.37391304,0.326956522,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Derryiro' ,408,896,894,54.705,110,10.5,17.37391304,0.326956522,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'TAWemer' ,735,1444,307,54.915,110,10.5,17.36726087,0.327030435,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Nangor' ,839,1509,493,67,110,20,17.34455584,0.352614766,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Nangor' ,838,1509,493,67,110,20,17.34455584,0.352614766,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Pollahoney' to  'Pollahoney',828,1500,467,50.25,110,11,17.00217391,0.331086957,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Pollahoney' to  'Pollahoney',827,1500,467,50.25,110,11,17.00217391,0.331086957,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Pollahoney' to  'Pollahoney',826,1500,467,50.25,110,11,17.00217391,0.331086957,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Pollahoney' to  'Pollahoney',825,1500,467,50.25,110,11,17.00217391,0.331086957,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'DROMODA' ,1077,1670,984,50,110,20,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Kilmahud' ,942,1573,689,50,110,10,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Kilmahud' ,941,1573,689,50,110,10,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Kilmahud' ,940,1573,689,50,110,10,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Knocknamona' to  'Knocknamona',20,120,113,50,110,20,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
Monatoreen to Monatoreen,8,21,20,50,110,20,16.9826087,0.331304348,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
    'Corduff' to  'Corduff_Flex',1093,1680,1005,90,110,10.5,16.92857425,0.382433084,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Ballywat' ,1240,1758,1353,70,110,20,16.85297273,0.377075841,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Castledo' ,1096,1684,1011,70,110,20,16.85297273,0.377075841,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Derrybri' ,1066,1660,911,70,110,20,16.85297273,0.377075841,22,0.04,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Ballywat' ,663,1353,1352,36.8,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Ballywat' ,662,1353,1351,11.5,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Castledo' ,474,1011,1010,22.5,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Castledo' ,473,1011,1009,2.5,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Castledo' ,472,1011,1008,3.465,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Castledo' ,471,1011,1007,17.5,20,0.4,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
 'Derrybri' ,419,911,910,63,20,0.69,16.85297273,0.377075841,1.65,0.2619,150,hv,0,-2,2,2.5,0,0,1,125,TRUE,Ratio
Clahane',1163,1716,1140,45,110,20,16.59130435,0.335652174,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Harristown' to  'Harristown',996,1612,765,45,110,20,16.59130435,0.335652174,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Kilcarbery' to  'Kilcarbery',970,1592,734,45,110,20,16.59130435,0.335652174,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
 'Kilcarbery' to  'Kilcarbery',969,1592,734,45,110,20,16.59130435,0.335652174,18,0.05,150,hv,0,-9,9,1.5,0,0,1,125,TRUE,Ratio
